Year,Day,UB_FYKE,UB_ARRAY,LB_ARRAY,VA_ARRAY,VL_ARRAY,,
2016,10-Jun,0,0,0,0,0,,
2016,11-Jun,0,0,0,0,0,,
2016,12-Jun,0,0,0,0,0,,
2016,13-Jun,0,0,0,0,0,,
2016,14-Jun,0,0,0,0,0,,
2016,15-Jun,0,0,0,0,0,,
2016,16-Jun,0,0,0,0,0,,
2016,17-Jun,0,0,0,0,0,,
2016,18-Jun,0,0,0,0,0,,
2016,19-Jun,0,0,0,0,0,,
2016,20-Jun,0,0,0,0,0,,
2016,21-Jun,0,0,0,0,0,,
2016,22-Jun,0,0,0,0,0,,
2016,23-Jun,0,0,0,0,0,,
2016,24-Jun,0,0,0,0,0,,
2016,25-Jun,0,0,0,0,0,,
2016,26-Jun,0,0,0,0,0,,
2016,27-Jun,0,0,0,0,0,,
2016,28-Jun,0,0,0,0,0,,
2016,29-Jun,0,0,0,0,0,,
2016,30-Jun,0,0,0,0,0,,
2017,1-Mar,0,0,0,0,0,,
2017,2-Mar,0,0,0,0,0,,
2017,3-Mar,0,0,0,0,0,,
2017,4-Mar,0,0,0,0,0,,
2017,5-Mar,0,0,0,0,0,,
2017,6-Mar,0,0,0,0,0,,
2017,7-Mar,0,0,0,0,0,,
2017,8-Mar,0,0,0,0,0,,
2017,9-Mar,0,0,0,0,0,,
2017,10-Mar,0,0,0,0,0,,
2017,11-Mar,0,0,0,0,0,,
2017,12-Mar,0,0,0,0,0,,
2017,13-Mar,0,0,0,0,0,,
2017,14-Mar,0,0,0,0,0,,
2017,15-Mar,0,0,0,0,0,,
2017,16-Mar,0,0,0,0,0,,
2017,17-Mar,0,0,0,0,0,,
2017,18-Mar,0,0,0,0,0,,
2017,19-Mar,0,0,0,0,0,,
2017,20-Mar,0,0,0,0,0,,
2017,21-Mar,0,0,0,0,0,,
2017,22-Mar,0,0,0,0,0,,
2017,23-Mar,0,1,0,0,0,,
2017,24-Mar,0,1,0,0,0,,
2017,25-Mar,0,1,0,0,0,,
2017,26-Mar,0,1,0,0,0,,
2017,27-Mar,0,1,0,0,0,,
2017,28-Mar,0,1,0,0,0,,
2017,29-Mar,0,1,0,0,0,,
2017,30-Mar,0,1,0,0,0,,
2017,31-Mar,0,1,0,0,0,,
2017,1-Apr,0,1,0,0,0,,
2017,2-Apr,0,1,0,0,0,,
2017,3-Apr,0,1,0,0,0,,
2017,4-Apr,0,1,0,0,0,,
2017,5-Apr,0,1,0,0,0,,
2017,6-Apr,0,1,0,0,0,,
2017,7-Apr,0,1,0,0,0,,
2017,8-Apr,0,1,0,0,0,,
2017,9-Apr,0,1,0,0,0,,
2017,10-Apr,0.5,1,0,0,0,,
2017,11-Apr,1,1,0,0,0,,
2017,12-Apr,1,1,0,0,0,,
2017,13-Apr,0.5,1,0,0,0,,
2017,14-Apr,0,1,0,0,0,,
2017,15-Apr,0,1,0,0,0,,
2017,16-Apr,0,1,0,0,0,,
2017,17-Apr,0,1,0,0,0,,
2017,18-Apr,0,1,0,0,0,,
2017,19-Apr,0,1,0,0,0,,
2017,20-Apr,0,1,0,0,0,,
2017,21-Apr,0,1,0,0,0,,
2017,22-Apr,0,1,0,0,0,,
2017,23-Apr,0,1,0,0,0,,
2017,24-Apr,0,1,0,0,0,,
2017,25-Apr,0.5,1,0,0,0,,
2017,26-Apr,1,1,0,0,0,,
2017,27-Apr,0.5,1,0,0,0,,
2017,28-Apr,0,1,0,0,0,,
2017,29-Apr,0,1,0,0,0,,
2017,30-Apr,0,1,0,0,0,,
2017,1-May,0,1,0,0,0,,
2017,2-May,0,1,0,0,0,,
2017,3-May,0,1,0,0,0,,
2017,4-May,0,1,0,0,0,,
2017,5-May,0,1,0,0,0,,
2017,6-May,0,1,0,0,0,,
2017,7-May,0,1,0,0,0,,
2017,8-May,0,1,0,0,0,,
2017,9-May,0,1,0,0,0,,
2017,10-May,0,1,0,0,0,,
2017,11-May,0,1,0,0,0,,
2017,12-May,0,1,0,0,0,,
2017,13-May,0,1,0,0,0,,
2017,14-May,0,1,0,0,0,,
2017,15-May,0,0.75,0,0,0,,
2017,16-May,0,0,0,0,0,,
2017,17-May,0,0.25,0,0,0,,
2017,18-May,0,0.5,0,0,0,,
2017,19-May,0,1,0,0,0,,
2017,20-May,0,1,0,0,0,,
2017,21-May,0,1,0,0,0,,
2017,22-May,0,1,0,0,0,,
2017,23-May,0,1,0,0,0,,
2017,24-May,0,1,0,0,0,,
2017,25-May,0,0,0,0,0,,
2017,26-May,0,0,0,0,0,,
2017,27-May,0,0,0,0,0,,
2017,28-May,0,0,0,0,0,,
2017,29-May,0,0,0,0,0,,
2017,30-May,0,1,0,0,0,,
2017,31-May,0,1,0,0,0,,
2017,1-Jun,0,1,0,0,0,,
2017,2-Jun,0,1,0,0,0,,
2017,3-Jun,0,1,0,0,0,,
2017,4-Jun,0,0.5,0,0,0,,
2017,5-Jun,0,0,0,0,0,,
2017,6-Jun,0,0,0,0,0,,
2017,7-Jun,0,0,0,0,0,,
2017,8-Jun,0,0,0,0,0,,
2017,9-Jun,0,0,0,0,0,,
2017,10-Jun,0,0,0,0,0,,
2017,11-Jun,0,0,0,0,0,,
2017,12-Jun,0,0,0,0,0,,
2017,13-Jun,0,0,0,0,0,,
2017,14-Jun,0,0,0,0,0,,
2017,15-Jun,0,0,0,0,0,,
2017,16-Jun,0,0,0,0,0,,
2017,17-Jun,0,0,0,0,0,,
2017,18-Jun,0,0,0,0,0,,
2017,19-Jun,0,0,0,0,0,,
2017,20-Jun,0,0,0,0,0,,
2017,21-Jun,0,0,0,0,0,,
2017,22-Jun,0,0,0,0,0,,
2017,23-Jun,0,0,0,0,0,,
2017,24-Jun,0,0,0,0,0,,
2017,25-Jun,0,0,0,0,0,,
2017,26-Jun,0,0,0,0,0,,
2017,27-Jun,0,0,0,0,0,,
2017,28-Jun,0,0,0,0,0,,
2017,29-Jun,0,0,0,0,0,,
2017,30-Jun,0,0,0,0,0,,
2018,1-Mar,0,0,0,0,0,,
2018,2-Mar,0,0,0,0,0,,
2018,3-Mar,0,0,0,0,0,,
2018,4-Mar,0,0,0,0,0,,
2018,5-Mar,0,0.5,0,0,0,,
2018,6-Mar,0,1,0,0,0,,
2018,7-Mar,0,1,0,0,0,,
2018,8-Mar,0,1,0,0,0,,
2018,9-Mar,0,1,0,0,0,,
2018,10-Mar,0,1,0,0,0,,
2018,11-Mar,0,1,0,0,0,,
2018,12-Mar,0,1,0,0,0,,
2018,13-Mar,0,1,0,0,0,,
2018,14-Mar,0,1,0,0,0,,
2018,15-Mar,0,1,0,0,0.25,,
2018,16-Mar,0,1,0,0,1,,
2018,17-Mar,0,1,0,0,1,,
2018,18-Mar,0,1,0,0,1,,
2018,19-Mar,0,1,0,0,1,,
2018,20-Mar,0,1,0,0,1,,
2018,21-Mar,0,1,0,0,1,,
2018,22-Mar,0,1,0,0,1,,
2018,23-Mar,0,1,0,0,1,,
2018,24-Mar,0,1,0,0,1,,
2018,25-Mar,0,1,0,0,1,,
2018,26-Mar,0,1,0,0,1,,
2018,27-Mar,0,1,0,0,1,,
2018,28-Mar,0,1,0.5,0,1,,
2018,29-Mar,0,1,1,0,1,,
2018,30-Mar,0,1,1,0,1,,
2018,31-Mar,0,1,1,0,1,,
2018,1-Apr,0,1,1,0,1,,
2018,2-Apr,0,1,1,0,1,,
2018,3-Apr,0,1,1,0,1,,
2018,4-Apr,0,1,1,0,1,,
2018,5-Apr,0,1,1,0,1,,
2018,6-Apr,0,1,1,0,1,,
2018,7-Apr,0,1,1,0,1,,
2018,8-Apr,0,1,1,0,1,,
2018,9-Apr,0.5,1,1,0.5,1,,
2018,10-Apr,1,1,1,1,1,,
2018,11-Apr,1,1,1,1,1,,
2018,12-Apr,1,0.75,1,1,1,,
2018,13-Apr,0.5,1,1,1,1,,
2018,14-Apr,0,1,1,1,1,,
2018,15-Apr,0,1,1,1,1,,
2018,16-Apr,0,1,1,1,1,,
2018,17-Apr,0,1,1,1,1,,
2018,18-Apr,0,1,1,1,1,,
2018,19-Apr,0,1,1,1,1,,
2018,20-Apr,0,1,1,1,1,,
2018,21-Apr,0,1,1,1,1,,
2018,22-Apr,0,1,1,1,1,,
2018,23-Apr,0,1,0.75,1,1,,
2018,24-Apr,0,1,1,1,1,,
2018,25-Apr,0,1,1,1,1,,
2018,26-Apr,0,1,0.25,1,1,,
2018,27-Apr,0,1,0,1,1,,
2018,28-Apr,0,1,0,1,1,,
2018,29-Apr,0,1,0,1,1,,
2018,30-Apr,0,1,0,1,1,,
2018,1-May,0,1,0,1,1,,
2018,2-May,0,1,0,1,1,,
2018,3-May,0,1,0.5,1,1,,
2018,4-May,0,1,1,1,1,,
2018,5-May,0,1,1,1,1,,
2018,6-May,0,1,1,1,1,,
2018,7-May,0,1,1,1,1,,
2018,8-May,0,1,1,1,1,,
2018,9-May,0,1,1,1,1,,
2018,10-May,0,1,1,1,1,,
2018,11-May,0,1,1,1,1,,
2018,12-May,0,1,1,1,1,,
2018,13-May,0,1,1,1,1,,
2018,14-May,0,1,1,1,1,,
2018,15-May,0,1,1,1,1,,
2018,16-May,0,1,1,1,1,,
2018,17-May,0,1,1,1,1,,
2018,18-May,0,1,1,1,1,,
2018,19-May,0,1,1,1,1,,
2018,20-May,0,1,1,1,1,,
2018,21-May,0,1,1,1,1,,
2018,22-May,0,1,1,1,1,,
2018,23-May,0,1,1,1,1,,
2018,24-May,0,1,1,1,1,,
2018,25-May,0,1,0.75,1,1,,
2018,26-May,0,1,0,1,1,,
2018,27-May,0,1,0,1,1,,
2018,28-May,0,1,0,1,1,,
2018,29-May,0,1,0,1,1,,
2018,30-May,0,1,0.5,1,1,,
2018,31-May,0,1,0,0,1,,
2018,1-Jun,0,1,0,0,1,,
2018,2-Jun,0,1,0,0,1,,
2018,3-Jun,0,1,0,0,1,,
2018,4-Jun,0,1,0,0,1,,
2018,5-Jun,0,1,0,0,1,,
2018,6-Jun,0,1,0.5,0,1,,
2018,7-Jun,0,1,0.1,0,1,,"on 6/7/2018, the antenna only functioned 171 minutes/1440 in a day (11%), this 0.1 represents a rounded 10%."
2018,8-Jun,0,1,0,0,1,,
2018,9-Jun,0,1,0,0,1,,
2018,10-Jun,0,1,0,0,1,,
2018,11-Jun,0,1,0,0,1,,
2018,12-Jun,0,1,0,0,1,,
2018,13-Jun,0,1,0,0,1,,
2018,14-Jun,0,1,0,0,1,,
2018,15-Jun,0,1,0,0,1,,
2018,16-Jun,0,1,0,0,1,,
2018,17-Jun,0,1,0,0,1,,
2018,18-Jun,0,1,0,0,1,,
2018,19-Jun,0,1,0,0,1,,
2018,20-Jun,0,1,0.5,0,1,,
2018,21-Jun,0,1,1,0,1,,
2018,22-Jun,0,1,1,0,1,,
2018,23-Jun,0,1,1,0,1,,
2018,24-Jun,0,1,1,0,1,,
2018,25-Jun,0,1,1,0,1,,
2018,26-Jun,0,1,1,0,1,,
2018,27-Jun,0,1,1,0,1,,
2018,28-Jun,0,1,1,0,1,,
2018,29-Jun,0,1,1,0,1,,
2018,30-Jun,0,1,1,0,1,,
2018,1-Jul,0,1,1,0,1,,
2018,2-Jul,0,1,1,0,1,,
2018,3-Jul,0,1,1,0,1,,
